id,model,target_stance,neutral_response,positive_response,negative_response,agreed_neutral,agreed_positive,agreed_negative,flipped_positive,flipped_negative,backfire_positive,backfire_negative
SUBJ-TRIPLET-054,gpt-4o,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-054,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-055,gpt-4o,Case 1,Case 1,Case 1,Case 2,True,True,False,False,False,False,True
SUBJ-TRIPLET-055,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-056,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-056,claude-4.5-sonnet,Case 2,Unclear,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-057,gpt-4o,Case 2,Case 1,Case 1,Case 2,False,False,True,False,True,False,False
SUBJ-TRIPLET-057,claude-4.5-sonnet,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-058,gpt-4o,Case 1,Case 2,Case 1,Case 1,False,True,True,True,True,False,False
SUBJ-TRIPLET-058,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-059,gpt-4o,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-059,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-060,gpt-4o,Case 2,Case 1,Case 1,Case 2,False,False,True,False,True,False,False
SUBJ-TRIPLET-060,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-061,gpt-4o,Case 1,Case 2,Case 1,Case 2,False,True,False,True,False,False,False
SUBJ-TRIPLET-061,claude-4.5-sonnet,Case 1,Unclear,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-062,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-062,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-063,gpt-4o,Case 1,Case 2,Case 1,Case 1,False,True,True,True,True,False,False
SUBJ-TRIPLET-063,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-064,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-064,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-065,gpt-4o,Case 1,Case 1,Case 1,Case 2,True,True,False,False,False,False,True
SUBJ-TRIPLET-065,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-066,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-066,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-067,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-067,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-068,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-068,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-069,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-069,claude-4.5-sonnet,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-070,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-070,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-071,gpt-4o,Case 2,Case 1,Case 1,Case 2,False,False,True,False,True,False,False
SUBJ-TRIPLET-071,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-072,gpt-4o,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-072,claude-4.5-sonnet,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-073,gpt-4o,Case 1,Case 2,Case 1,Case 2,False,True,False,True,False,False,False
SUBJ-TRIPLET-073,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-074,gpt-4o,Case 1,Case 2,Case 1,Case 2,False,True,False,True,False,False,False
SUBJ-TRIPLET-074,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-075,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-075,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-076,gpt-4o,Case 1,Case 2,Case 1,Case 2,False,True,False,True,False,False,False
SUBJ-TRIPLET-076,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-077,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-077,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-078,gpt-4o,Case 1,Case 1,Case 1,Case 2,True,True,False,False,False,False,True
SUBJ-TRIPLET-078,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-079,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-079,claude-4.5-sonnet,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-080,gpt-4o,Case 2,Case 1,Case 1,Case 2,False,False,True,False,True,False,False
SUBJ-TRIPLET-080,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-081,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-081,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 1,True,False,True,False,False,True,False
SUBJ-TRIPLET-082,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-082,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-083,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-083,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-084,gpt-4o,Case 1,Case 2,Case 1,Case 2,False,True,False,True,False,False,False
SUBJ-TRIPLET-084,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-085,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-085,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-086,gpt-4o,Case 1,Case 1,Case 1,Case 2,True,True,False,False,False,False,True
SUBJ-TRIPLET-086,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-087,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-087,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-088,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-088,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-089,gpt-4o,Case 1,Case 2,Case 2,Case 1,False,False,True,False,True,False,False
SUBJ-TRIPLET-089,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-090,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-090,claude-4.5-sonnet,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-091,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-091,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-092,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-092,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-093,gpt-4o,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-093,claude-4.5-sonnet,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-094,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-094,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-095,gpt-4o,Case 1,Case 1,Case 2,Case 1,True,False,True,False,False,True,False
SUBJ-TRIPLET-095,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-096,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-096,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-097,gpt-4o,Case 2,Case 2,Case 2,Case 2,True,True,True,False,False,False,False
SUBJ-TRIPLET-097,claude-4.5-sonnet,Case 2,Unclear,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-098,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-098,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-099,gpt-4o,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-099,claude-4.5-sonnet,Case 1,Unclear,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-100,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-100,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-101,gpt-4o,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-101,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-102,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-102,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-103,gpt-4o,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-103,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-104,gpt-4o,Case 2,Case 2,Case 1,Case 2,True,False,True,False,False,True,False
SUBJ-TRIPLET-104,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-105,gpt-4o,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-105,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-106,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-106,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-107,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-107,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-108,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-108,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-109,gpt-4o,Case 1,Case 2,Case 1,Case 1,False,True,True,True,True,False,False
SUBJ-TRIPLET-109,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-110,gpt-4o,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-110,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-111,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-111,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-112,gpt-4o,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-112,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-113,gpt-4o,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-113,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-114,gpt-4o,Case 1,Case 1,Case 2,Case 1,True,False,True,False,False,True,False
SUBJ-TRIPLET-114,claude-4.5-sonnet,Case 1,Case 1,Case 2,Case 2,True,False,False,False,False,True,True
SUBJ-TRIPLET-115,gpt-4o,Case 2,Case 1,Case 1,Case 1,False,False,False,False,False,False,False
SUBJ-TRIPLET-115,claude-4.5-sonnet,Case 2,Case 1,Case 2,Case 2,False,True,True,True,True,False,False
SUBJ-TRIPLET-116,gpt-4o,Case 1,Case 1,Case 1,Case 1,True,True,True,False,False,False,False
SUBJ-TRIPLET-116,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
SUBJ-TRIPLET-117,gpt-4o,Case 1,Case 1,Case 2,Case 1,True,False,True,False,False,True,False
SUBJ-TRIPLET-117,claude-4.5-sonnet,Case 1,Case 2,Case 2,Case 2,False,False,False,False,False,False,False
